NYSE Stock Exchange,,,,,,,,,,,
Thursday March 24 2016 5:31 PM,,,,,,,,,,,
,,,,,,,,,,,
Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,YTD % Chg
Kennametal,KMT,21.53,22.19,21.2,22.16,0.37,1.7,906556,39.91,15.11,15.42
Kennedy-Wilson Holdings,KW,20.68,21.11,20.47,21.05,0.13,0.62,346222,26.98,15.73,-12.58
KeyCorp,KEY,11.17,11.2,11.01,11.19,-0.07,-0.62,9644675,15.7,9.88,-15.16
Key Energy Services,KEG,0.4,0.44,0.38,0.42,0.02,4.18,1059235,2.79,0.18,-12.18
Keysight Technologies,KEYS,26.82,27.11,26.52,27,,,739109,37.48,21.07,-4.69
Kilroy Realty,KRC,59.06,59.06,58.05,58.76,-0.58,-0.98,611997,77.97,46.76,-7.14
Kimberly-Clark,KMB,133.66,133.87,132.82,133.55,-0.43,-0.32,1065197,136.61,103.04,4.91
Kimco Realty,KIM,27.67,27.89,27.52,27.8,0.01,0.04,1923987,29.11,22.07,5.06
Kinder Morgan,KMI,17.36,18.09,17,18.09,0.34,1.92,22166057,44.71,11.2,21.25
Kinder Morgan WT,KMI%,0.06,0.06,0.05,0.06,0,-3.3,127351,5.4,0.03,-7.49
Kindred Healthcare,KND,11.67,12.08,11.45,11.67,-0.01,-0.09,1296753,24.66,7.96,-2.02
Kingsway Financial Services,KFS,4.55,4.64,4.5,4.63,0.12,2.66,11936,6.17,3.65,1.31
Kinross Gold,KGC,2.96,3.1,2.92,3.02,0.08,2.72,13096520,3.36,1.31,65.93
Kirby,KEX,60,60.33,59.42,59.89,-0.73,-1.2,548209,84.24,44.63,13.82
Kite Realty Group Trust,KRG,26.91,26.91,26.67,26.72,-0.27,-1,404563,28.63,22.82,3.05
KKR,KKR,14.05,14.05,13.51,13.9,-0.3,-2.11,2482188,24.79,8,-10.84
KMG Chemicals,KMG,22.9,22.9,22.52,22.64,-0.4,-1.74,21415,31.9,18.45,-1.65
Knight Transportation,KNX,26.11,26.33,25.76,26.32,0.05,0.19,316455,33,20.56,8.63
Knoll Inc.,KNL,19.9,19.99,19.53,19.99,0.09,0.45,220102,26.06,16.42,6.33
Knot Offshore Partners,KNOP,15.98,16.61,15.7,16.37,0.32,1.99,53209,26.49,9.68,21.35
Knowles,KN,12.55,12.76,12.34,12.71,0.06,0.47,528078,22.33,9.68,-4.65
Kohl's,KSS,46.26,46.31,45.57,45.93,-0.78,-1.67,2891858,79.6,39.23,-3.57
Koninklijke Philips ADR,PHG,27.36,27.54,27.29,27.54,-0.1,-0.36,2111660,30.43,23.16,8.21
Koppers Holdings,KOP,21.54,22.06,21.23,21.99,0.23,1.06,122451,27.4,13.58,20.49
Korea Electric Power ADR,KEP,25.16,25.44,25.12,25.44,0.3,1.19,276643,25.68,18.87,20.17
Korn/Ferry International,KFY,28.19,28.23,27.96,28,-0.43,-1.51,414312,38.93,25.2,-15.61
Kosmos Energy,KOS,5.49,5.74,5.37,5.71,0.11,1.96,2396180,10.03,3.17,9.81
Kraton Performance Polymers,KRA,15.52,15.9,15.41,15.89,0.2,1.27,439996,25.22,13.35,-4.33
Krispy Kreme Doughnuts,KKD,14.23,14.68,14.16,14.61,0.32,2.24,1010212,20.45,12.9,-3.05
Kroger,KR,37.2,37.69,37.1,37.65,0.06,0.16,9483914,42.75,27.32,-9.99
Kronos Worldwide,KRO,5.35,5.47,5.21,5.4,-0.03,-0.55,300605,13.85,3.94,-4.26
KT ADR,KT,13.04,13.24,13.04,13.22,0.17,1.3,748981,14.9,10.81,11
Kyocera ADR,KYO,43.79,43.91,43.54,43.88,-0.3,-0.68,5776,59.69,38.01,-4.84
L-3 Communications Holdings,LLL,118.71,119.11,117.56,118.42,-1.16,-0.97,484371,131.36,101.11,-0.91
Laboratory of America Holdings,LH,113.12,114.04,112.16,114.02,0.1,0.09,569221,131.19,97.79,-7.78
Laclede Group,LG,66.12,66.79,65.45,66.69,0.59,0.89,131416,67.33,49.66,12.25
Ladder Capital Cl A,LADR,11.7,11.75,11.44,11.69,0.04,0.34,194677,18.74,8.64,-5.88
Landauer,LDR,31.54,31.88,30.49,31.35,-0.63,-1.97,55057,42.9,26.99,-4.77
Lannett,LCI,18.43,18.69,17.08,18.31,-2.05,-10.07,3838403,72.44,17.08,-54.36
La Quinta Holdings,LQ,12,12.21,12,12.05,0.02,0.17,869189,24.94,9.42,-11.46
Laredo Petroleum,LPI,7.78,8.1,7.57,7.92,-0.2,-2.46,3975512,16.18,3.9,-0.88
LaSalle Hotel Properties,LHO,24.34,24.9,24.1,24.85,0.3,1.22,939108,39.7,19.01,-1.23
Las Vegas Sands,LVS,51.75,52.5,50.96,52.47,0.09,0.17,4855321,59.9,34.88,19.69
LATAM Airlines Group ADR,LFL,6.77,6.84,6.66,6.81,0.04,0.59,251948,10.15,4.35,26.35
Lazard,LAZ,37.93,38.27,37.33,38.18,-0.37,-0.96,882164,59.82,29.26,-15.17
La-Z-Boy,LZB,25.29,25.53,25,25.48,0.11,0.43,131399,29.34,19.56,4.34
L Brands,LB,85.19,86.47,85.1,85.79,0.49,0.57,1169631,101.11,75.11,-10.47
LeapFrog Enterprises Cl A,LF,0.99,0.99,0.98,0.99,-0.01,-0.5,264080,2.48,0.52,38.77
Lear Corp.,LEA,110.14,110.56,108.52,110.49,-0.28,-0.25,672850,127,89.71,-10.05
Lee Enterprises,LEE,1.76,1.8,1.75,1.78,,,40383,3.55,1.15,5.95
Leggett&Platt,LEG,46.75,47.2,46.41,47.19,0.14,0.3,586579,51.28,36.64,12.3
Legg Mason,LM,33.81,34.14,33.44,34.01,-0.36,-1.05,1226464,56.37,24.93,-13.31
Leidos Holdings,LDOS,48.8,49.18,48.43,48.93,-0.03,-0.06,432350,59.52,37.79,-13.03
Leju Holdings ADR,LEJU,5.37,5.37,5.14,5.31,-0.1,-1.85,111994,10.82,3.28,-7.17
LendingClub,LC,8.07,8.34,8.01,8.32,0.09,1.09,3494437,19.98,6.34,-24.71
Lennar Cl A,LEN,46.54,46.56,45.85,46.35,0.15,0.32,2577978,56.04,37.14,-5.23
Lennar Cl B,LENB,36.7,36.89,36.37,36.85,0.27,0.74,20734,46.55,30.04,-8.29
Lennox International,LII,131.33,133.25,130.72,132.9,0.94,0.71,404482,138.57,104.94,6.41
Leucadia National,LUK,15.81,16.08,15.78,16.03,0.03,0.19,1934803,25.39,14.27,-7.82
Level 3 Communications,LVLT,50.98,51.66,50.47,51.59,0.3,0.58,1343358,57.08,40.86,-5.1
Lexington Realty Trust,LXP,8.39,8.53,8.29,8.48,0.07,0.83,920710,10.21,6.52,6
Lexmark International,LXK,31,31.25,30.81,31.25,0.13,0.42,414744,47.69,24.11,-3.7
LG Display ADR,LPL,11.21,11.25,11.13,11.23,-0.09,-0.8,356948,15.01,8.2,7.57
Liberty Property Trust,LPT,32.18,32.32,31.8,32.29,-0.04,-0.12,522940,36.8,26.94,3.99
LifeLock,LOCK,11.44,11.54,11.21,11.52,0.05,0.44,415290,17.43,7.18,-19.72
LightInTheBox Holding ADR,LITB,2.42,2.42,2.32,2.33,-0.11,-4.51,22521,6.46,1.95,-21.28
Lincoln National,LNC,39.17,39.62,38.58,39.27,-1.05,-2.6,2920114,62.08,30.39,-21.87
Lincoln National WT,LNC%,31.77,31.77,30.4,30.4,-1.73,-5.37,1800,53.99,24.59,-28.47
Lindsay,LNN,76.04,77.09,76.04,76.74,0.37,0.48,63347,91.93,62.99,5.99
LinkedIn Cl A,LNKD,111.86,112.32,110.1,111.03,-1.42,-1.26,2669981,266.53,98.25,-50.67
Lions Gate Entertainment,LGF,20.93,21.37,20.75,21.31,0.17,0.8,1861859,41.41,16.21,-34.21
Lithia Motors Cl A,LAD,86.68,88.06,85.19,88.05,1.32,1.52,320732,126.56,72.3,-17.46
Live Nation Entertainment,LYV,22.26,22.59,22.13,22.55,0.2,0.89,648706,29.68,18.77,-8.22
