NYSE Stock Exchange,,,,,,,,,,,
Thursday March 24 2016 5:31 PM,,,,,,,,,,,
,,,,,,,,,,,
Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,YTD % Chg
Opower,OPWR,6.48,6.75,6.37,6.68,0.2,3.09,157971,12.97,5.3,-36.74
Oppenheimer Holdings A,OPY,14.63,14.75,14.36,14.48,-0.29,-1.96,16911,27.99,13.58,-16.69
Oracle,ORCL,40.6,41.06,40.34,40.97,0.22,0.54,11813697,45.24,33.13,12.15
Orange ADR,ORAN,17.16,17.31,17.12,17.26,-0.14,-0.8,146954,18.32,14.27,3.79
Orbital ATK,OA,83,84.11,82.72,84.05,1.28,1.55,676046,94.92,56.06,-5.92
Orchid Island Capital,ORC,10.16,10.34,10,10.32,0.11,1.08,135697,14.25,7.13,3.93
Orion Engineered Carbons,OEC,13.58,13.91,13.58,13.74,-0.01,-0.07,110528,21.06,9.69,9.05
Orion Marine Group,ORN,4.78,5.05,4.64,4.96,0.16,3.33,125699,9.6,3.25,18.94
Orix ADR,IX,70.41,70.91,70.35,70.89,0.15,0.21,42168,83.02,57,0.93
Ormat Technologies,ORA,40.25,40.51,40.02,40.44,0.06,0.15,58390,41.17,32.25,10.89
Oshkosh,OSK,38.77,40.69,38.39,40.32,1.23,3.15,718439,55.69,29.59,3.28
Outfront Media,OUT,20.27,20.52,20,20.5,0.14,0.69,1476857,30.42,18.01,-6.09
Owens Corning,OC,46.52,47.05,46.46,47,0.3,0.64,955284,48.5,37.29,-0.06
Owens-Illinois,OI,15.56,15.79,15.07,15.75,-0.05,-0.32,1359861,26.4,11.58,-9.59
Owens&Minor,OMI,39.48,39.72,39.15,39.4,-0.21,-0.53,432554,40.39,31.89,9.51
Oxford Industries,OXM,70.3,70.41,66.18,67.62,-4.96,-6.83,409725,91.24,54.79,5.95
Pacific Coast Oil Trust,ROYT,1.51,1.59,1.5,1.59,0.08,5.3,132516,4.44,0.68,20.45
Pacific Drilling,PACD,0.5,0.5,0.45,0.48,-0.02,-4.02,508324,5.61,0.3,-42.87
Packaging of America,PKG,57.86,58.83,57.27,58.71,0.32,0.55,949637,79.11,44.32,-6.88
Palo Alto Networks,PANW,154.75,156.31,153,155.73,0.74,0.48,1158649,200.55,111.09,-11.59
Pampa Energia ADR,PAM,20.32,21.08,20.05,20.83,0.41,2.01,591707,26.87,12.51,1.36
Pandora Media,P,9.92,11.08,9.8,10.93,1.05,10.63,15646791,22.6,7.1,-18.49
Panhandle Oil&Gas,PHX,16.78,17.43,16.78,17.38,0.42,2.48,16820,24,10.82,7.55
Paramount Group,PGRE,15.7,15.81,15.52,15.58,-0.18,-1.14,874030,19.73,14.23,-13.92
Park Electrochemical,PKE,14.76,15.13,14.62,15.12,0.33,2.23,35677,23.63,13.65,0.4
Parker Drilling,PKD,1.99,2.16,1.95,2.14,0.11,5.42,420763,4.55,0.98,17.58
Parker Hannifin,PH,109.58,110.97,109.02,110.95,0.33,0.3,1117313,125.33,83.32,14.41
Parkway Properties,PKY,14.63,14.81,14.48,14.8,0.06,0.41,762360,18.68,11.54,-5.31
Parsley Energy Cl A,PE,21.14,21.82,21.01,21.82,0.21,0.97,1987281,22.34,13.29,18.27
Par Technology,PAR,5.39,5.63,5.27,5.63,0.42,8.07,37226,7.53,3.71,-16.34
Party City Holdco,PRTY,14.39,14.39,13.88,13.99,-0.45,-3.12,412966,22.6,7.53,8.37
Patriot National,PN,7.21,7.8,6.81,7.44,0.23,3.19,466417,19.32,3.56,10.88
Paycom Software,PAYC,33.31,33.76,32.85,33.7,0.11,0.33,529217,46.35,22.42,-10.44
PBF Energy,PBF,31.18,32.46,31,32.42,0.88,2.79,1177154,41.75,25.58,-11.93
PBF Logistics,PBFX,18.87,20.22,18.87,19.6,0.67,3.54,52676,25.29,15.39,-8.24
Peabody Energy,BTU,2.32,2.79,2.29,2.56,0.16,6.67,2534892,98.85,2,-66.67
Pearson ADR,PSO,12.46,12.56,12.45,12.54,-0.09,-0.71,223156,22.18,9.18,16.33
Pebblebrook Hotel Trust,PEB,27.31,27.58,26.71,27.58,0.16,0.58,693321,47.06,20.51,-1.57
Pembina Pipeline,PBA,25.2,25.66,25.12,25.48,,,312621,36.09,17.88,17.1
Pengrowth Energy,PGH,0.99,1.07,0.97,1.07,0.03,2.88,782274,3.53,0.45,45.94
Pennsylvania Real Estate Investment Trust,PEI,20.68,20.78,20.47,20.76,-0.04,-0.19,700712,23.55,16.42,-5.08
Penn West Petroleum,PWE,0.89,0.91,0.86,0.89,-0.01,-1.01,605052,2.6,0.45,6.46
PennyMac Financial Services Cl A,PFSI,11.12,11.12,11,11.08,-0.11,-0.98,29064,19.69,10.48,-27.86
PennyMac Mortgage Investment Trust,PMT,13.33,13.47,13.14,13.37,-0.01,-0.07,494644,21.89,10.91,-12.39
Penske Automotive Group,PAG,38.01,38.45,37.59,38.38,0.27,0.71,192525,54.39,29.41,-9.35
Pentair,PNR,52.45,52.74,51.79,52.65,-0.29,-0.55,1308481,69.65,41.57,6.3
Penumbra,PEN,44.15,45.84,43.83,44.94,0.79,1.79,330027,59.36,35.31,-16.48
PepsiCo,PEP,100.7,100.92,100.15,100.68,-0.13,-0.13,2795499,103.44,76.48,0.76
Performance Food Group,PFGC,22.53,23.13,22.25,22.97,0.4,1.77,79983,25.46,18.72,-0.73
Performance Sports Group,PSG,3.3,3.43,3.2,3.33,-0.01,-0.3,1347708,21.72,2.8,-65.42
PerkinElmer,PKI,48.49,48.71,47.99,48.42,-0.23,-0.47,411632,54.52,39.5,-9.61
Permian Basin Royalty Trust,PBT,5.8,6.03,5.69,5.97,-0.02,-0.33,100071,9.79,4.2,17.98
Perrigo,PRGO,129.32,130.83,128.62,130.31,0.08,0.06,1097460,215.73,122.62,-9.94
Petrobras Argentina ADR,PZE,6.43,6.51,6.31,6.5,0.01,0.15,58732,7.9,4.69,17.33
PetroChina ADR,PTR,65.42,66.14,64.88,66.14,-0.37,-0.56,142120,136.98,52.3,0.84
Petroleo Brasileiro ADR,PBR,5.14,5.45,4.98,5.4,0.04,0.75,25783174,10.55,2.71,25.58
Petroleo Brasileiro ADR A,PBRA,4,4.28,3.93,4.21,0.02,0.48,7843240,9.71,1.99,23.82
PetroQuest Energy,PQ,0.6,0.61,0.53,0.53,-0.08,-13.11,157126,2.74,0.31,6
Pfizer,PFE,30.12,30.27,29.88,30.08,-0.11,-0.36,31012806,36.46,28.25,-6.82
PG&E,PCG,58.71,59.11,58.62,58.85,-0.11,-0.19,1909908,59.5,47.33,10.64
PharMerica,PMC,20.2,20.63,19.97,20.46,0.15,0.74,310273,36.96,19.79,-41.54
PHH,PHH,11.67,12.13,11.41,12.12,0.29,2.45,807883,27.83,8.26,-25.19
Philip Morris International,PM,97.04,97.6,96.66,97.57,0.5,0.52,3557162,99.33,75.27,10.99
Philippine Long Distance Telephone ADR,PHI,41.34,41.94,41.25,41.79,0.17,0.41,64535,68,35.52,-2.25
Phillips 66,PSX,86.97,88.12,86.57,88.06,-0.06,-0.07,2394924,94.12,69.79,7.65
Phillips 66 Partners,PSXP,63.31,66.81,62.41,62.5,-0.43,-0.68,833685,76.95,40,1.79
Phoenix,PNX,36.83,37.05,36.55,36.58,-0.45,-1.22,25929,56.48,11.12,-1.24
Phoenix New Media Cl A ADR,FENG,4.29,4.37,4.18,4.34,0.01,0.23,47537,9.9,3.31,-27.91
Physicians Realty Trust,DOC,18.02,18.35,17.96,18.24,0.21,1.16,758096,18.42,13.86,8.19
Piedmont Natural Gas,PNY,59.52,59.64,59.48,59.55,0.04,0.07,302479,60.04,35.09,4.44
Piedmont Office Realty Trust Cl A,PDM,19.72,19.75,19.54,19.74,-0.06,-0.3,314296,20.13,16.54,4.56
Pier 1 Imports,PIR,6.14,6.46,6.05,6.46,0.23,3.69,1315636,14.61,3.76,26.92
Pinnacle Foods,PF,43.67,44.61,43.29,44.48,0.91,2.09,2643787,48.13,38.32,4.76
Pinnacle West Capital,PNW,73.04,73.7,72.72,73.49,0.2,0.27,511807,73.7,56.01,13.97
Pioneer Energy Services,PES,1.99,2.03,1.88,2.03,-0.06,-2.87,826955,8.69,0.95,-6.45
Pioneer Natural Resources,PXD,133.5,139.5,131.36,139.19,2.42,1.77,1738231,181.97,103.5,11.01
Piper Jaffray,PJC,46.58,47.15,45.9,47.02,,,116501,56.57,31.66,16.39
Pitney Bowes,PBI,20.6,20.92,20.39,20.9,0.1,0.48,1130292,23.94,16.24,1.21
PJT Partners,PJT,26.24,26.66,26,26.47,-0.04,-0.15,73264,30,20,-6.43
Plains All American Pipeline,PAA,22.38,22.42,21.65,21.77,-1.34,-5.8,4389016,51.71,14.82,-5.76
Plains GP Holdings Cl A,PAGP,7.9,8.17,7.75,8.13,0.03,0.37,3048448,29.86,4.72,-13.97
Planet Fitness Cl A,PLNT,15.3,15.61,14.98,15.6,0.18,1.17,343734,20.68,13.23,-0.19
Plantronics,PLT,36.86,37.56,36.55,37.48,0.37,1,164173,58.73,32.13,-20.96
Platform Specialty Products,PAH,8.5,8.72,8.34,8.66,-0.03,-0.35,1513047,28.44,5.25,-32.5
Ply Gem Holdings,PGEM,12.86,13.34,12.62,13.21,0.24,1.85,157977,15.3,8.58,5.34
PNC Financial Services Group,PNC,84.72,84.87,83.82,84.8,-0.55,-0.64,2240804,100.52,77.67,-11.03
PNC Financial Services Group Wt,PNC%,20.15,20.41,19.85,20.4,-0.63,-3,15635,32.92,15.78,-28.94
PNM Resources,PNM,32.86,33.4,32.86,33.3,0.04,0.12,677773,33.81,24.42,8.93
Polaris Industries,PII,95.83,98.1,94.34,97.91,1.69,1.76,765795,156.35,67.8,13.92
PolyOne,POL,29.32,29.72,29.13,29.71,0.15,0.51,268261,41.2,22.35,-6.45
Portland General Electric,POR,39.35,39.61,39.05,39.32,-0.18,-0.46,780840,40.48,33.04,8.11
POSCO ADR,PKX,44.4,45.15,44.15,45.15,0.03,0.07,297177,61.95,30.97,27.69
Post Holdings,POST,67.34,67.86,67.29,67.71,0.17,0.25,385713,72.64,41.63,9.74
Post Properties,PPS,58.59,58.6,57.74,58.2,-0.41,-0.7,582356,62.55,52.08,-1.62
Potash of Saskatchewan,POT,17.21,17.21,16.62,17.08,-0.28,-1.61,8056423,33.8,14.64,-0.23
PowerSecure International,POWR,18.58,18.65,18.56,18.61,0.01,0.05,364843,18.7,9.53,23.65
PPG Industries,PPG,108.2,109.06,107.38,108.95,-0.19,-0.17,1378225,118.69,82.93,10.25
PPL,PPL,37.06,37.3,36.88,37.19,0.13,0.35,2346101,37.68,29.18,8.97
Praxair,PX,111.88,112.1,111,111.74,-1.06,-0.94,1099483,124.99,95.6,9.12
Precision Drilling,PDS,4.06,4.21,3.96,4.16,-0.02,-0.48,2097078,7.8,2.43,5.58
Preferred Apartment Communities,APTS,11.87,12.38,11.69,12.22,0.28,2.35,124520,13.89,8.69,-6.57
Press Ganey Holdings,PGND,28.24,28.63,28,28.54,0.16,0.56,80734,36.15,23.68,-9.54
Prestige Brands Holdings,PBH,50.51,51.18,49.87,50.96,0.31,0.61,213795,54.25,39.1,-1.01
Pretium Resources,PVG,5.04,5.18,4.98,5.12,0.08,1.59,743835,6.95,4,1.59
Primerica,PRI,43.56,43.56,42.75,43.34,-0.63,-1.43,236318,53.08,37.09,-8.24
Primero Mining,PPP,1.82,1.82,1.73,1.75,-0.04,-2.23,762452,4.49,1.41,-23.25
Principal Financial Group,PFG,39.27,39.27,38.36,38.9,-0.86,-2.16,2331497,58.02,33.09,-13.52
ProAssurance,PRA,50.54,50.57,49.88,50.2,-0.52,-1.03,144241,53.62,43.11,3.44
Procter&Gamble,PG,82.46,83.12,82.43,82.89,0.07,0.08,6040141,84.2,65.02,4.38
Progressive Corp,PGR,34.97,35.07,34.56,34.81,-0.36,-1.02,2495191,35.27,26.44,9.47
Progressive Waste Solutions,BIN,30.74,30.91,30.58,30.84,-0.01,-0.03,664215,31.7,20.81,30.96
Prologis,PLD,41.9,42.4,41.67,42.32,0.14,0.33,2046358,44.48,35.25,-1.4
PROS Holdings,PRO,11.04,11.42,11.02,11.4,0.25,2.24,163661,27.23,9.01,-50.52
Prosperity Bancshares,PB,44.95,45.51,44.22,45.51,0.07,0.15,294285,59.97,33.57,-4.91
Proto Labs,PRLB,75.15,76.4,74.5,76.13,0.38,0.5,237208,79.95,51.61,19.53
Provident Financial Services,PFS,19.68,19.9,19.52,19.86,0.05,0.25,190186,21.2,17.71,-1.44
Prudential ADR,PUK,35.97,36.38,35.89,36.36,-0.39,-1.06,499708,52.17,31.3,-19.34
Prudential Financial,PRU,70,70.78,69.35,70.76,-2.07,-2.84,5983586,92.6,57.19,-13.08
PS Business Parks,PSB,98.78,99.18,98.12,99.07,0.37,0.37,89420,99.81,70.15,13.31
Public Service Enterprise Group,PEG,46.07,46.28,45.8,46.04,-0.17,-0.37,1919523,46.45,36.8,19
Public Storage,PSA,263.79,267.12,263.43,266.68,1.48,0.56,519375,271.81,182.08,7.66
PulteGroup,PHM,18.05,18.07,17.85,17.91,-0.07,-0.39,4587866,22.95,14.61,0.51
Puma Biotechnology,PBYI,36.16,38.85,35.03,36.98,0.18,0.49,480217,244.9,34.71,-52.83
Pure Storage Cl A,PSTG,13.24,13.35,12.53,13.05,,,916098,20.6,11.05,-16.18
PVH Corp.,PVH,92.43,95.25,90.69,94.29,6.66,7.6,3608945,120.67,64.16,28.02
Pzena Investment Management,PZN,7.3,7.53,7.2,7.47,0.13,1.77,36308,12.25,5.91,-13.14
Q2 Holdings,QTWO,22.35,22.42,21.92,22.37,-0.16,-0.71,315082,30.44,16.43,-15.17
QEP Resources,QEP,12.6,13.4,12.48,13.39,0.37,2.84,3441796,24.04,8.54,-0.07
Qihoo 360 Technology,QIHU,75,75.25,74.98,75.24,0.24,0.32,1692906,75.34,41.64,3.34
QTS Realty Trust Cl A,QTS,46.29,47.43,46.2,46.88,0.44,0.95,268263,47.86,34.91,3.92
Quad/Graphics,QUAD,12.3,12.73,12.05,12.67,0.25,2.01,191039,23.39,7.32,36.24
Quaker Chemical,KWR,82.17,83.39,82.02,83.23,0.28,0.34,59238,95.74,68.2,7.73
Quanex Building Products,NX,16.92,17.06,16.69,16.84,-0.13,-0.77,190593,21.93,15.33,-19.23
Quanta Services,PWR,22.25,22.41,22.16,22.3,-0.02,-0.09,2568650,30.61,16.77,10.12
Quantum,QTM,0.55,0.57,0.55,0.56,,0.2,479634,2.22,0.4,-39.81
Questar,STR,24.6,24.81,24.55,24.81,0.14,0.57,2740098,25.35,18.02,27.36
Quest Diagnostics,DGX,69.44,69.91,68.91,69.79,-0.36,-0.51,802747,89,59.66,-1.9
Quintiles Transnational Holdings,Q,64.26,64.92,63.66,64.23,-0.31,-0.48,474780,80.45,55.01,-6.45
Quotient Technology,QUOT,9.62,9.85,9.45,9.78,0.11,1.14,304247,14.66,5,43.4
Rackspace Hosting,RAX,19.8,20.31,19.65,20.12,0.13,0.65,1427856,56.2,15.05,-20.54
Radian Group,RDN,11.74,11.79,11.5,11.75,-0.1,-0.84,2077637,19.13,9.29,-12.25
RAIT Financial Trust,RAS,2.83,3.04,2.77,3.01,0.18,6.36,536633,7.08,1.85,11.48
Ralph Lauren Cl A,RL,95.69,95.98,93.79,95.55,-0.34,-0.35,591678,141.08,82.15,-14.29
Ramco-Gershenson Properties Trust,RPT,17.08,17.17,16.98,17.03,-0.12,-0.7,600122,19.07,14.74,2.53
Range Resources,RRC,30,31.09,29.38,30.72,-0.46,-1.48,5256718,65.53,19.21,24.83
Raymond James Financial,RJF,47,47.02,46.07,46.9,-0.47,-0.99,579439,61.82,39.84,-19.1
Rayonier,RYN,23.47,23.69,23.31,23.67,-0.05,-0.21,468158,27.19,17.85,6.62
Rayonier Advanced Materials,RYAM,8.96,9.59,8.65,9.56,0.45,4.94,300244,19.64,5.75,-2.35
Raytheon,RTN,123.46,124.33,122.8,122.95,-0.91,-0.73,1237118,129.99,95.32,-1.27
Realogy Holdings,RLGY,33.06,33.8,33,33.73,0.45,1.35,597910,49.75,27.98,-8.02
Realty Income,O,61.45,61.7,61.24,61.46,0.05,0.08,1237833,61.84,43.15,19.04
Red Hat,RHT,72.63,73.31,71.71,73.24,0.7,0.96,1940171,84.44,59.59,-11.56
Red Lion Hotels,RLH,8.01,8.22,8.01,8.19,0.24,3.02,37076,9.54,5.45,16.83
Redwood Trust,RWT,12.16,12.37,11.81,12.31,0.07,0.57,999835,18.9,9.26,-6.74
Regal Beloit,RBC,61.2,62.2,60.41,62.2,0.56,0.91,315967,81.36,47.77,6.29
Regal Entertainment Group Cl A,RGC,20.94,21.16,20.75,21.15,0.14,0.67,861504,23.67,16.5,12.08
Regency Centers,REG,72.8,73.51,72.67,73.32,0.13,0.18,987945,77.17,55.79,7.63
Regional Management,RM,16.56,16.86,16.34,16.71,0.11,0.66,40656,20.27,11.77,8.02
Regions Financial,RF,8.02,8.07,7.82,8.06,-0.02,-0.25,11340507,10.87,7,-16.04
Regis,RGS,14.77,14.9,14.58,14.81,-0.08,-0.54,193940,18.13,10.6,4.66
Reinsurance Group of America,RGA,94.32,94.5,93.57,94.31,-0.7,-0.74,156695,98.7,76.96,10.24
Reliance Steel&Aluminum,RS,67.25,68.34,66.86,68.34,0.45,0.66,552171,71.34,50.08,18.01
RELX ADR,RELX,18.37,18.45,18.28,18.42,-0.13,-0.7,134206,18.74,15.57,3.31
RELX ADR,RENX,17.13,17.2,17.06,17.19,-0.07,-0.41,129183,17.58,14.8,2.14
RE/MAX Holdings Cl A,RMAX,33.64,34.03,33.2,34.02,0.11,0.32,58711,43.22,30.22,-8.79
RenaissanceRe Holdings,RNR,116.61,116.76,115.78,116.01,-1.21,-1.03,225930,117.87,99.14,2.49
ReneSola ADR,SOL,1.43,1.43,1.4,1.4,-0.03,-2.1,239515,1.97,0.91,-17.65
Renren Cl A ADR,RENN,3.21,3.27,3.2,3.25,0.05,1.56,136074,4.45,2.37,-11.68
Rentech Nitrogen Partners,RNF,10.56,11.18,10.4,10.96,0.4,3.79,179536,16,6.66,3.4
Republic Services,RSG,47.84,48.13,47.84,48.12,0.24,0.5,1384333,48.27,38.99,9.39
ResMed,RMD,55.78,56.07,55.13,55.47,-0.88,-1.56,768757,75.33,48.99,3.32
Resolute Energy,REN,0.55,0.56,0.5,0.55,-0.02,-3.51,382173,1.8,0.25,-36.78
Resolute Forest Products,RFP,5.14,5.29,4.96,5.2,0.04,0.78,199770,18.45,3.79,-31.31
Resource Capital,RSO,11.21,11.43,11.04,11.42,0.18,1.6,171063,18.92,8.39,-10.5
Restaurant Brands International,QSR,37.79,37.79,37.24,37.63,-0.38,-1,690202,44.6,29.28,0.72
Restoration Hardware Holdings,RH,36.65,37.2,36.36,37.13,0.33,0.9,1380405,106.49,35.03,-53.27
Retail Properties of America,RPAI,15.18,15.26,15.08,15.23,-0.01,-0.07,783850,16.18,13.1,3.11
Revlon Cl A,REV,35.39,36.05,35.05,35.99,0.5,1.41,91038,41.67,24.2,29.27
Rex American Resources,REX,52.84,54.08,51.62,53.55,0.71,1.34,115046,67.99,43.5,-0.96
Rexford Industrial Realty,REXR,17.7,17.7,17.37,17.6,-0.11,-0.62,328083,18.44,12.57,7.58
Rexnord,RXN,19.39,19.68,19.17,19.65,0.14,0.72,213093,27.73,14.04,8.44
Reynolds American,RAI,50.16,50.47,49.49,49.7,-0.58,-1.15,4579774,52.54,33.71,7.69
Rice Energy,RICE,11.72,12.42,11.54,12.38,0.39,3.25,2583155,25.33,7.92,13.58
Rice Midstream Partners,RMP,14.18,14.46,13.84,14.16,-0.31,-2.14,202549,18.17,8.4,4.97
RingCentral Cl A,RNG,14.93,14.98,14.49,14.55,-0.45,-3,883536,25.67,14.28,-38.3
Rio Tinto ADR,RIO,26.83,27.79,26.73,27.71,0.04,0.14,5255538,47.37,21.89,-4.84
Ritchie Bros. Auctioneers,RBA,25.72,25.92,25.25,25.71,-0.13,-0.5,507075,30.85,21.03,6.64
Rite Aid,RAD,7.99,8.07,7.98,8.07,0.07,0.88,18126917,9.47,5.88,2.93
RLI,RLI,65.76,66,65.01,65.65,-0.43,-0.65,172776,67.75,48,6.32
RLJ Lodging Trust,RLJ,21.82,21.96,21.41,21.9,-0.11,-0.5,852832,32.14,16.15,1.25
Roadrunner Transportation Systems,RRTS,12.51,12.67,12.1,12.59,,,286246,28.51,6.39,33.51
Robert Half International,RHI,43.49,44.23,43,44.23,0.6,1.38,1146993,60.98,36.17,-6.17
Rockwell Automation,ROK,111.95,112.17,110.52,111.57,-1.48,-1.31,1048073,127.05,87.53,8.73
Rockwell Collins,COL,90.87,91.57,90.13,91.25,-0.42,-0.46,366818,99.37,76.03,-1.14
Rogers,ROG,58.03,59.56,57.3,59.45,1.23,2.11,146164,83.85,41.92,15.28
Rogers Communications Cl B,RCI,38.25,38.96,38.2,38.9,0.37,0.96,207899,41.38,32.5,12.88
Rollins Inc.,ROL,26.76,26.86,26.55,26.79,-0.03,-0.11,463913,30.42,23.69,3.44
Roper Technologies,ROP,179.05,180.67,178.86,180.53,0.57,0.32,358886,195.93,150.91,-4.88
Rose Rock Midstream,RRMS,13,13.92,12.66,13.59,0.43,3.27,90094,54.06,6.67,-9.64
Rosetta Stone,RST,6.77,6.87,6.72,6.85,0.09,1.33,32869,9.19,6.17,2.39
Rouse Properties,RSE,18.25,18.35,18.25,18.3,0.02,0.11,151440,19.51,12.79,25.69
Rowan Cos.,RDC,15.07,15.71,14.91,15.58,0.17,1.1,3028173,24.31,10.67,-8.08
Royal Bank of Canada,RY,55.89,55.92,55.39,55.85,-0.84,-1.48,1320873,67.49,44.37,4.24
Royal Bank of Scotland Group ADR,RBS,6.34,6.38,6.31,6.37,-0.06,-0.93,932078,11.63,6.14,-28.18
Royal Caribbean Cruises,RCL,73.24,75.03,72.53,74.47,1.17,1.6,2183359,103.4,64.21,-26.42
Royal Dutch Shell ADR B,RDSB,47.41,48.75,47.29,48.72,0.47,0.97,1883482,65.98,35.95,5.82
Royal Dutch Shell ADR Cl A,RDSA,46.93,48.31,46.77,48.28,0.58,1.22,4654688,64.46,35.8,5.44
RPC,RES,13.37,13.79,13.25,13.71,0.09,0.66,1483762,16.66,8.45,14.73
RPM International,RPM,46.04,46.24,45.72,46.23,-0.14,-0.3,452521,51.27,36.78,4.93
RSP Permian,RSPP,27.29,28.82,27.14,28.57,0.56,2,942925,31.15,16.74,17.14
Rubicon Project,RUBI,16.92,17.52,16.9,17.5,0.48,2.82,432936,19.21,11.72,6.38
Ruby Tuesday,RT,5.03,5.09,4.97,5.07,0.03,0.6,103816,7.65,4.52,-7.99
Ruckus Wireless,RKUS,9.42,9.47,9.24,9.39,-0.11,-1.16,590756,13.5,7.25,-12.32
Rudolph Technologies,RTEC,13,13.15,12.89,13.14,0.08,0.61,128624,15.06,10.71,-7.59
Ryder System,R,63.81,64.79,62.97,64.74,0.06,0.09,436941,100.64,45.12,13.92
Ryerson Holding,RYI,4.37,4.87,4.35,4.76,0.25,5.54,87509,9.61,2.53,1.93
Ryman Hospitality Properties,RHP,50,50.84,49.91,50.68,0.42,0.84,175113,62.96,41.5,-1.86
Sabine Royalty Trust UBI,SBR,30.11,30.63,29.27,30.38,-1.12,-3.56,78304,42.74,22.75,15.69
Safe Bulkers,SB,0.7,0.74,0.58,0.71,,0.07,131202,4.13,0.3,-12.27
Safeguard Scientifics,SFE,13.12,13.12,12.92,12.93,-0.23,-1.75,55078,19.94,11.4,-10.89
Salesforce.com,CRM,71.54,72.45,71.06,72.44,0.66,0.92,2688181,82.9,52.6,-7.6
Sally Beauty Holdings,SBH,32.23,32.37,31.59,31.89,-0.33,-1.02,990716,35.27,21.94,14.34
Sanchez Energy,SN,4.82,5.25,4.7,5.18,0.15,2.98,1389585,15.85,2.06,20.19
SandRidge Mississippian Trust,SDT,2.5,2.5,2.35,2.47,-0.03,-1.2,110006,5.43,1.9,10.76
SandRidge Mississippian Trust II,SDR,1.95,1.98,1.88,1.88,-0.12,-6,122365,5.14,1.3,-4.08
SandRidge Permian Trust,PER,2.65,2.73,2.61,2.71,0.03,1.12,74873,8.78,2,-8.75
San Juan Basin Royalty Trust,SJT,5.1,5.19,4.95,5.17,0.03,0.58,214675,12.57,3.99,24.88
Sanofi ADR,SNY,38.58,38.87,38.51,38.87,-0.53,-1.35,2222410,54.98,37.63,-8.86
Santander Consumer USA Holdings,SC,8.9,9.16,8.6,9.15,0.11,1.22,2083532,26.83,8.54,-42.27
SAP ADR,SAP,79.19,79.53,79.07,79.44,-0.05,-0.06,386472,81.21,62.57,0.43
Sasol ADR,SSL,28.69,29.53,28.64,29.52,0.02,0.07,306568,41.87,21.07,10.07
Saul Centers,BFS,50.93,51.65,50.31,51.44,0.5,0.98,16077,59.34,46.46,0.33
Scana,SCG,68.2,68.95,67.92,68.84,0.55,0.81,732447,68.95,49.89,13.8
Schlumberger,SLB,71.91,72.66,71.5,72.58,-0.38,-0.52,8072142,95.13,59.6,4.06
Schweitzer-Mauduit International,SWM,30.15,30.81,30.04,30.4,0.03,0.1,203738,46.6,29.02,-27.6
Science Applications International,SAIC,46.92,47.27,46.59,47.24,0.17,0.36,123164,55.99,39.28,3.19
Scorpio Bulkers,SALT,2.96,3.22,2.93,3.12,0.11,3.65,593440,35.39,1.79,-68.45
Scorpio Tankers,STNG,5.56,5.82,5.41,5.8,0.16,2.84,2550582,11.64,4.66,-27.68
Scotts Miracle-Gro,SMG,72.14,72.61,71.89,72.61,0.23,0.32,163078,74.61,58.11,12.56
Seabridge Gold,SA,10.33,10.69,10,10.65,0.41,4,651382,12.77,3.31,28.47
SEACOR Holdings,CKH,50.69,52.6,50.58,51.94,0.63,1.23,240347,78.95,41.24,-1.18
SeaDrill,SDRL,3.04,3.3,2.94,3.27,0.04,1.24,8374926,15.44,1.57,-3.54
Seadrill Partners,SDLP,3.46,3.68,3.3,3.68,0.04,1.1,780026,16.17,1.7,0.82
Sealed Air,SEE,47.42,47.81,46.95,47.3,-0.44,-0.92,1001384,55.84,38.02,6.05
Seaspan,SSW,17.95,18.75,17.83,18.73,0.62,3.42,188993,20.87,13.67,18.47
SeaWorld Entertainment,SEAS,20.17,20.28,19.8,19.98,-0.25,-1.24,931362,22.68,16.86,1.47
Select Income REIT,SIR,22.19,22.19,21.86,22.16,-0.04,-0.18,248215,25.3,17.07,11.81
Select Medical Holdings,SEM,11.21,11.21,10.89,11.13,-0.2,-1.77,813637,17.2,7.33,-6.55
Semgroup Cl A,SEMG,20.78,23.33,20.53,22.24,1.27,6.06,637802,86.99,13.98,-22.94
Semiconductor Manufacturing International ADR,SMI,4.4,4.4,4.37,4.4,-0.04,-0.9,14268,6.12,3.75,-12.87
Sempra Energy,SRE,101.46,102.77,101.03,102.55,0.72,0.71,860811,111.09,86.72,9.08
Senior Housing Properties Trust,SNH,17.06,17.16,16.72,17.13,-0.02,-0.12,1098717,22.28,13.5,15.43
Sensata Technologies Holding,ST,37.14,37.77,36.77,37.77,0.17,0.45,591770,59.04,29.91,-18
Sensient Technologies,SXT,61.98,62.78,61.63,62.36,0.09,0.14,125516,70.53,52.69,-0.73
Sequans Communications ADR,SQNS,2.65,2.95,2.5,2.91,0.23,8.58,242065,3,0.66,38.57
Seritage Growth Properties Cl A,SRG,47.14,49.24,46.78,48.92,1.59,3.36,425183,49.24,33.34,21.63
Service International,SCI,23.77,23.95,23.49,23.59,-0.29,-1.21,1385669,32.02,20.21,-9.34
ServiceMaster Global Holdings,SERV,35.39,35.94,35.19,35.74,0.13,0.37,1100967,42.21,31.98,-8.92
ServiceNow,NOW,61.53,61.72,60.83,61.69,-0.56,-0.9,1047205,91.28,45.99,-28.73
